family,wnid,pred_wnid,in_group,n,true_name,pred_name,n_total_wrong,pct_of_class_errors
ViT,n03950228,n04560804,True,111,pitcher,water_jug,1210,9.2
ViT,n03871628,n03291819,True,110,packet,envelope,1247,8.8
CNN,n04548362,n03485794,False,110,wallet,handkerchief,1794,6.1
CNN,n01698640,n04525038,False,108,American_alligator,velvet,1638,6.6
CNN,n01984695,n04525038,False,107,spiny_lobster,velvet,1627,6.6
ViT,n04325704,n03980874,True,107,stole,poncho,1223,8.7
CNN,n01985128,n04525038,False,107,crayfish,velvet,1822,5.9
CNN,n03871628,n03291819,True,107,packet,envelope,1849,5.8
CNN,n07614500,n07613480,True,106,ice_cream,trifle,1966,5.4
CNN,n03089624,n04462240,True,106,confectionery,toyshop,1815,5.8
CNN,n01775062,n04525038,False,105,wolf_spider,velvet,1579,6.6
CNN,n01667114,n01669191,True,105,mud_turtle,box_turtle,1791,5.9
CNN,n01697457,n01698640,True,105,African_crocodile,American_alligator,1806,5.8
CNN,n03908618,n03485794,False,104,pencil_box,handkerchief,1777,5.9
ViT,n03887697,n15075141,False,104,paper_towel,toilet_tissue,1201,8.7
CNN,n01742172,n04525038,False,104,boa_constrictor,velvet,1610,6.5
ViT,n06596364,n03598930,False,103,comic_book,jigsaw_puzzle,1098,9.4
CNN,n01775062,n01774750,True,103,wolf_spider,tarantula,1579,6.5
ViT,n04133789,n03047690,True,103,sandal,clog,1123,9.2
CNN,n15075141,n03887697,False,103,toilet_tissue,paper_towel,1942,5.3
ViT,n04026417,n04548362,True,103,purse,wallet,1301,7.9
CNN,n01755581,n01756291,True,103,diamondback,sidewinder,1730,6.0
CNN,n04548362,n03291819,True,102,wallet,envelope,1794,5.7
CNN,n03782006,n03179701,False,102,monitor,desk,2036,5.0
CNN,n04296562,n04286575,False,101,stage,spotlight,1749,5.8
CNN,n03832673,n03085013,True,101,notebook,computer_keyboard,1989,5.1
CNN,n03450230,n10148035,False,100,gown,groom,1732,5.8
ViT,n01729322,n01756291,True,99,hognose_snake,sidewinder,1176,8.4
CNN,n07684084,n07860988,True,99,French_loaf,dough,1814,5.5
CNN,n03532672,n02999410,True,98,hook,chain,1948,5.0
ViT,n03216828,n03095699,False,97,dock,container_ship,1306,7.4
CNN,n04081281,n03598930,False,97,restaurant,jigsaw_puzzle,1977,4.9
ViT,n03782006,n04404412,True,97,monitor,television,1364,7.1
CNN,n03742115,n04589890,False,97,medicine_chest,window_screen,1884,5.1
ViT,n06596364,n07248320,False,96,comic_book,book_jacket,1098,8.7
CNN,n01978455,n04525038,False,96,rock_crab,velvet,1769,5.4
CNN,n03770439,n03598930,False,95,miniskirt,jigsaw_puzzle,1858,5.1
ViT,n04560804,n03063689,True,94,water_jug,coffeepot,1382,6.8
CNN,n03871628,n07248320,False,94,packet,book_jacket,1849,5.1
CNN,n04392985,n02988304,True,94,tape_player,CD_player,1909,4.9
CNN,n02808304,n04525038,True,94,bath_towel,velvet,1854,5.1
CNN,n04550184,n04590129,False,94,wardrobe,window_shade,1647,5.7
CNN,n09246464,n09472597,True,93,cliff,volcano,1843,5.0
CNN,n02730930,n03485794,True,92,apron,handkerchief,1654,5.6
CNN,n04041544,n02988304,True,92,radio,CD_player,1899,4.8
CNN,n04026417,n03485794,False,92,purse,handkerchief,1940,4.7
CNN,n04476259,n03485794,False,91,tray,handkerchief,1811,5.0
CNN,n04200800,n04525038,False,91,shoe_shop,velvet,1727,5.3
CNN,n04026417,n03709823,True,91,purse,mailbag,1940,4.7
ViT,n07836838,n07579787,True,91,chocolate_sauce,plate,1162,7.8
CNN,n02791270,n04443257,True,90,barbershop,tobacco_shop,1789,5.0
CNN,n03866082,n03450230,True,90,overskirt,gown,2018,4.5
CNN,n02124075,n02123597,True,90,Egyptian_cat,Siamese_cat,1838,4.9
CNN,n01729322,n01756291,True,90,hognose_snake,sidewinder,1772,5.1
ViT,n07614500,n07613480,True,90,ice_cream,trifle,1284,7.0
ViT,n01742172,n01744401,True,90,boa_constrictor,rock_python,1027,8.8
CNN,n04041544,n02979186,True,90,radio,cassette_player,1899,4.7
CNN,n03710637,n02837789,True,90,maillot,bikini,2105,4.3
CNN,n07880968,n04525038,False,89,burrito,velvet,1859,4.8
ViT,n09246464,n01608432,False,89,cliff,kite,1155,7.7
ViT,n01697457,n01698640,True,89,African_crocodile,American_alligator,1173,7.6
ViT,n04041544,n02988304,True,89,radio,CD_player,1212,7.3
CNN,n04325704,n04599235,True,89,stole,wool,1730,5.1
CNN,n07836838,n07579787,True,89,chocolate_sauce,plate,1958,4.5
CNN,n04550184,n04209239,True,88,wardrobe,shower_curtain,1647,5.3
CNN,n03843555,n02747177,False,88,oil_filter,ashcan,1765,5.0
CNN,n07684084,n03530642,False,87,French_loaf,honeycomb,1814,4.8
CNN,n01697457,n04525038,False,86,African_crocodile,velvet,1806,4.8
CNN,n07871810,n04525038,False,86,meat_loaf,velvet,1875,4.6
ViT,n03661043,n04443257,True,86,library,tobacco_shop,1099,7.8
CNN,n03866082,n04525038,True,85,overskirt,velvet,2018,4.2
CNN,n02124075,n02123394,True,84,Egyptian_cat,Persian_cat,1838,4.6
CNN,n04392985,n03196217,True,84,tape_player,digital_clock,1909,4.4
ViT,n01978455,n01980166,True,84,rock_crab,fiddler_crab,1249,6.7
CNN,n01729322,n01755581,True,84,hognose_snake,diamondback,1772,4.7
CNN,n03950228,n04398044,True,84,pitcher,teapot,1816,4.6
CNN,n04263257,n02939185,True,83,soup_bowl,caldron,1880,4.4
CNN,n01729322,n01735189,True,83,hognose_snake,garter_snake,1772,4.7
CNN,n03216828,n09332890,False,83,dock,lakeside,1974,4.2
CNN,n03899768,n03598930,False,83,patio,jigsaw_puzzle,1970,4.2
CNN,n01740131,n01755581,True,83,night_snake,diamondback,2018,4.1
ViT,n04041544,n04392985,True,82,radio,tape_player,1212,6.8
ViT,n01667114,n01669191,True,82,mud_turtle,box_turtle,1204,6.8
CNN,n01984695,n09256479,False,82,spiny_lobster,coral_reef,1627,5.0
CNN,n07614500,n01910747,False,82,ice_cream,jellyfish,1966,4.2
ViT,n03661043,n02871525,True,82,library,bookshop,1099,7.5
CNN,n01984695,n02319095,True,81,spiny_lobster,sea_urchin,1627,5.0
CNN,n04560804,n04557648,True,81,water_jug,water_bottle,2033,4.0
CNN,n02988304,n04041544,True,81,CD_player,radio,1871,4.3
ViT,n09246464,n09193705,True,80,cliff,alp,1155,6.9
CNN,n03661043,n04443257,True,80,library,tobacco_shop,1808,4.4
CNN,n04357314,n03690938,True,80,sunscreen,lotion,1942,4.1
CNN,n02808304,n03485794,True,80,bath_towel,handkerchief,1854,4.3
ViT,n01729322,n01753488,True,80,hognose_snake,horned_viper,1176,6.8
CNN,n03938244,n03485794,False,80,pillow,handkerchief,1627,4.9
CNN,n03089624,n04599235,False,79,confectionery,wool,1815,4.4
CNN,n03866082,n02730930,True,79,overskirt,apron,2018,3.9
CNN,n03742115,n04550184,True,79,medicine_chest,wardrobe,1884,4.2
CNN,n03899768,n04589890,False,79,patio,window_screen,1970,4.0
CNN,n01740131,n01737021,True,79,night_snake,water_snake,2018,3.9
CNN,n03661043,n02870880,False,78,library,bookcase,1808,4.3
ViT,n04200800,n04443257,True,78,shoe_shop,tobacco_shop,1096,7.1
ViT,n03089624,n04462240,True,78,confectionery,toyshop,1202,6.5
CNN,n07614500,n07836838,True,78,ice_cream,chocolate_sauce,1966,4.0
CNN,n04296562,n04141076,False,78,stage,sax,1749,4.5
CNN,n03089624,n04525038,False,78,confectionery,velvet,1815,4.3
CNN,n03995372,n03598930,False,78,power_drill,jigsaw_puzzle,1832,4.3
CNN,n09246464,n09399592,True,78,cliff,promontory,1843,4.2
CNN,n04041544,n03857828,True,78,radio,oscilloscope,1899,4.1
CNN,n07684084,n04525038,False,78,French_loaf,velvet,1814,4.3
ViT,n03908618,n03291819,True,78,pencil_box,envelope,1173,6.6
CNN,n03216828,n03095699,False,77,dock,container_ship,1974,3.9
CNN,n03742115,n03196217,False,77,medicine_chest,digital_clock,1884,4.1
ViT,n03877472,n03325584,True,77,pajama,feather_boa,1097,7.0
CNN,n04033995,n03788365,True,77,quilt,mosquito_net,1800,4.3
CNN,n03481172,n03804744,False,77,hammer,nail,1768,4.4
CNN,n04041544,n03196217,True,77,radio,digital_clock,1899,4.1
ViT,n04462240,n04443257,True,76,toyshop,tobacco_shop,1191,6.4
CNN,n10148035,n04141076,False,76,groom,sax,1759,4.3
CNN,n03216828,n03160309,True,76,dock,dam,1974,3.9
CNN,n09246464,n09288635,True,76,cliff,geyser,1843,4.1
ViT,n04263257,n03775546,True,75,soup_bowl,mixing_bowl,1217,6.2
ViT,n01985128,n01984695,True,75,crayfish,spiny_lobster,1255,6.0
CNN,n04263257,n03775546,True,75,soup_bowl,mixing_bowl,1880,4.0
CNN,n04392985,n02978881,False,75,tape_player,cassette,1909,3.9
CNN,n02730930,n04525038,True,75,apron,velvet,1654,4.5
CNN,n04296562,n03388043,False,74,stage,fountain,1749,4.2
CNN,n01883070,n04525038,False,73,wombat,velvet,1699,4.3
ViT,n01698640,n01697457,True,73,American_alligator,African_crocodile,1095,6.7
CNN,n09246464,n01608432,False,73,cliff,kite,1843,4.0
CNN,n02109047,n02087394,True,72,Great_Dane,Rhodesian_ridgeback,1707,4.2
ViT,n01740131,n01753488,True,72,night_snake,horned_viper,1364,5.3
CNN,n04263257,n03400231,False,72,soup_bowl,frying_pan,1880,3.8
CNN,n04004767,n03291819,False,72,printer,envelope,1945,3.7
ViT,n03450230,n10148035,False,72,gown,groom,1150,6.3
ViT,n04208210,n04228054,False,72,shovel,ski,1205,6.0
ViT,n03950228,n04398044,True,71,pitcher,teapot,1210,5.9
ViT,n04392985,n02988304,True,71,tape_player,CD_player,1332,5.3
CNN,n04356056,n03598930,False,71,sunglasses,jigsaw_puzzle,1919,3.7
CNN,n04239074,n04590129,False,71,sliding_door,window_shade,1946,3.6
CNN,n07871810,n07579787,True,71,meat_loaf,plate,1875,3.8
CNN,n04154565,n04376876,False,71,screwdriver,syringe,1914,3.7
ViT,n03141823,n04228054,False,71,crutch,ski,1252,5.7
CNN,n02109047,n02092339,True,71,Great_Dane,Weimaraner,1707,4.2
ViT,n02988304,n04041544,True,71,CD_player,radio,1217,5.8
CNN,n09246464,n03792782,False,71,cliff,mountain_bike,1843,3.9
CNN,n02791270,n03598930,False,70,barbershop,jigsaw_puzzle,1789,3.9
CNN,n02791270,n02791124,False,70,barbershop,barber_chair,1789,3.9
CNN,n03742115,n04590129,False,70,medicine_chest,window_shade,1884,3.7
CNN,n01698640,n01697457,True,70,American_alligator,African_crocodile,1638,4.3
ViT,n07684084,n07860988,True,70,French_loaf,dough,1192,5.9
CNN,n03958227,n04525038,False,70,plastic_bag,velvet,1904,3.7
CNN,n04136333,n04525038,True,70,sarong,velvet,1718,4.1
ViT,n03661043,n02870880,False,69,library,bookcase,1099,6.3
ViT,n04041544,n02979186,True,69,radio,cassette_player,1212,5.7
CNN,n04296562,n04418357,False,69,stage,theater_curtain,1749,3.9
CNN,n07860988,n07684084,True,69,dough,French_loaf,1994,3.5
CNN,n01740131,n01729322,True,69,night_snake,hognose_snake,2018,3.4
CNN,n04026417,n03908618,True,69,purse,pencil_box,1940,3.6
ViT,n03950228,n07930864,False,69,pitcher,cup,1210,5.7
CNN,n01985128,n01984695,True,69,crayfish,spiny_lobster,1822,3.8
CNN,n03877472,n04141076,False,68,pajama,sax,1729,3.9
CNN,n03908714,n04116512,True,68,pencil_sharpener,rubber_eraser,1815,3.7
CNN,n10148035,n03888257,False,68,groom,parachute,1759,3.9
ViT,n01737021,n01930112,False,68,water_snake,nematode,1191,5.7
CNN,n04548362,n03196217,False,68,wallet,digital_clock,1794,3.8
CNN,n03899768,n03160309,True,68,patio,dam,1970,3.5
ViT,n04550184,n04201297,False,68,wardrobe,shoji,1082,6.3
ViT,n03866082,n03450230,True,68,overskirt,gown,1370,5.0
CNN,n03938244,n04033995,True,67,pillow,quilt,1627,4.1
CNN,n09246464,n09468604,True,67,cliff,valley,1843,3.6
CNN,n01729322,n01740131,True,67,hognose_snake,night_snake,1772,3.8
CNN,n03661043,n04525038,False,67,library,velvet,1808,3.7
CNN,n04263257,n07590611,False,67,soup_bowl,hot_pot,1880,3.6
CNN,n04357314,n03476991,True,67,sunscreen,hair_spray,1942,3.5
CNN,n07860988,n04525038,False,67,dough,velvet,1994,3.4
CNN,n03770439,n04141076,False,66,miniskirt,sax,1858,3.6
CNN,n01755581,n13052670,False,66,diamondback,hen-of-the-woods,1730,3.8
ViT,n03782006,n03179701,False,66,monitor,desk,1364,4.8
CNN,n02776631,n04525038,False,66,bakery,velvet,1981,3.3
CNN,n04525038,n03485794,True,66,velvet,handkerchief,2018,3.3
CNN,n04041544,n03691459,True,66,radio,loudspeaker,1899,3.5
ViT,n02840245,n04548362,False,66,binder,wallet,1142,5.8
CNN,n03782006,n03598930,False,66,monitor,jigsaw_puzzle,2036,3.2
CNN,n04462240,n04525038,False,66,toyshop,velvet,1776,3.7
CNN,n07880968,n03530642,False,66,burrito,honeycomb,1859,3.6
ViT,n01775062,n01774750,True,66,wolf_spider,tarantula,1070,6.2
CNN,n03216828,n03598930,False,65,dock,jigsaw_puzzle,1974,3.3
CNN,n04033995,n04525038,False,65,quilt,velvet,1800,3.6
CNN,n01984695,n01985128,True,65,spiny_lobster,crayfish,1627,4.0
ViT,n07880968,n07579787,True,65,burrito,plate,1192,5.5
CNN,n04090263,n04525038,False,65,rifle,velvet,1896,3.4
CNN,n03089624,n03944341,False,65,confectionery,pinwheel,1815,3.6
CNN,n01740131,n01744401,True,65,night_snake,rock_python,2018,3.2
ViT,n03532672,n02999410,True,65,hook,chain,1319,4.9
ViT,n04141975,n02708093,True,65,scale,analog_clock,1204,5.4
CNN,n04254120,n04553703,True,65,soap_dispenser,washbasin,1795,3.6
CNN,n03089624,n03461385,True,65,confectionery,grocery_store,1815,3.6
CNN,n02840245,n03485794,False,65,binder,handkerchief,1738,3.7
ViT,n04239074,n04201297,False,65,sliding_door,shoji,1277,5.1
ViT,n03476991,n03690938,True,65,hair_spray,lotion,1245,5.2
CNN,n07871810,n07711569,True,64,meat_loaf,mashed_potato,1875,3.4
CNN,n01737021,n01930112,False,64,water_snake,nematode,1768,3.6
CNN,n09246464,n01616318,False,64,cliff,vulture,1843,3.5
CNN,n01978455,n01980166,True,64,rock_crab,fiddler_crab,1769,3.6
ViT,n09246464,n09399592,True,64,cliff,promontory,1155,5.5
CNN,n04136333,n03888257,False,64,sarong,parachute,1718,3.7
CNN,n03216828,n03673027,False,64,dock,liner,1974,3.2
ViT,n02791270,n04443257,True,64,barbershop,tobacco_shop,1213,5.3
CNN,n02776631,n04443257,True,63,bakery,tobacco_shop,1981,3.2
CNN,n04548362,n03223299,False,63,wallet,doormat,1794,3.5
CNN,n03216828,n03933933,False,63,dock,pier,1974,3.2
CNN,n04208210,n03888257,False,63,shovel,parachute,1684,3.7
CNN,n01667114,n04525038,False,63,mud_turtle,velvet,1791,3.5
CNN,n04355338,n04589890,False,63,sundial,window_screen,1650,3.8
CNN,n04597913,n04596742,False,63,wooden_spoon,wok,1680,3.8
CNN,n07684084,n03160309,False,63,French_loaf,dam,1814,3.5
ViT,n03782006,n03529860,False,63,monitor,home_theater,1364,4.6
ViT,n02124075,n02123394,True,63,Egyptian_cat,Persian_cat,1219,5.2
CNN,n03223299,n03196217,False,63,doormat,digital_clock,1770,3.6
CNN,n03041632,n02966687,False,63,cleaver,carpenter's_kit,1811,3.5
CNN,n03908618,n03291819,True,63,pencil_box,envelope,1777,3.5
CNN,n02124075,n04589890,False,62,Egyptian_cat,window_screen,1838,3.4
ViT,n01698640,n01873310,False,62,American_alligator,platypus,1095,5.7
CNN,n03877472,n03598930,False,62,pajama,jigsaw_puzzle,1729,3.6
CNN,n04296562,n03598930,False,62,stage,jigsaw_puzzle,1749,3.5
CNN,n04154565,n03804744,False,62,screwdriver,nail,1914,3.2
CNN,n04090263,n03598930,False,62,rifle,jigsaw_puzzle,1896,3.3
ViT,n04392985,n02978881,False,62,tape_player,cassette,1332,4.7
CNN,n03866082,n03045698,False,62,overskirt,cloak,2018,3.1
CNN,n09246464,n03160309,False,62,cliff,dam,1843,3.4
CNN,n03476991,n03690938,True,62,hair_spray,lotion,1736,3.6
ViT,n03216828,n02687172,False,62,dock,aircraft_carrier,1306,4.7
ViT,n04296562,n04286575,False,62,stage,spotlight,1127,5.5
CNN,n02971356,n03127925,True,62,carton,crate,1912,3.2
ViT,n01729322,n01735189,True,62,hognose_snake,garter_snake,1176,5.3
CNN,n03216828,n02687172,False,61,dock,aircraft_carrier,1974,3.1
CNN,n04325704,n04525038,True,61,stole,velvet,1730,3.5
CNN,n03777754,n03291819,False,61,modem,envelope,1809,3.4
CNN,n03141823,n04228054,False,61,crutch,ski,1802,3.4
CNN,n03141823,n03888257,False,61,crutch,parachute,1802,3.4
CNN,n04476259,n02877765,False,61,tray,bottlecap,1811,3.4
CNN,n02840245,n04548362,False,61,binder,wallet,1738,3.5
ViT,n04239074,n04550184,False,61,sliding_door,wardrobe,1277,4.8
CNN,n07880968,n07875152,True,61,burrito,potpie,1859,3.3
ViT,n04239074,n04590129,False,61,sliding_door,window_shade,1277,4.8
CNN,n04263257,n04596742,False,61,soup_bowl,wok,1880,3.2
CNN,n06596364,n03998194,False,61,comic_book,prayer_rug,1666,3.7
CNN,n01740131,n01930112,False,60,night_snake,nematode,2018,3.0
CNN,n04356056,n04141076,False,60,sunglasses,sax,1919,3.1
CNN,n04136333,n03598930,False,60,sarong,jigsaw_puzzle,1718,3.5
CNN,n04550184,n04589890,False,60,wardrobe,window_screen,1647,3.6
CNN,n01667114,n03530642,False,60,mud_turtle,honeycomb,1791,3.4
CNN,n04263257,n03388043,False,60,soup_bowl,fountain,1880,3.2
CNN,n03710637,n02807133,True,60,maillot,bathing_cap,2105,2.9
CNN,n10148035,n03598930,False,60,groom,jigsaw_puzzle,1759,3.4
ViT,n04296562,n04418357,False,60,stage,theater_curtain,1127,5.3
CNN,n03871628,n03958227,True,60,packet,plastic_bag,1849,3.2
ViT,n07860988,n01608432,False,60,dough,kite,1338,4.5
CNN,n03832673,n03485794,False,60,notebook,handkerchief,1989,3.0
CNN,n04325704,n04591157,True,59,stole,Windsor_tie,1730,3.4
ViT,n02109047,n02110341,True,59,Great_Dane,dalmatian,1195,4.9
CNN,n03710637,n04371430,True,59,maillot,swimming_trunks,2105,2.8
ViT,n04548362,n02840245,False,59,wallet,binder,1258,4.7
CNN,n02988304,n03196217,True,59,CD_player,digital_clock,1871,3.2
CNN,n03041632,n04525038,False,59,cleaver,velvet,1811,3.3
CNN,n03014705,n03127925,True,59,chest,crate,1681,3.5
ViT,n04136333,n03325584,True,59,sarong,feather_boa,1188,5.0
CNN,n04462240,n03944341,False,59,toyshop,pinwheel,1776,3.3
ViT,n02109047,n02092339,True,58,Great_Dane,Weimaraner,1195,4.9
CNN,n01698640,n01873310,False,58,American_alligator,platypus,1638,3.5
CNN,n04200800,n04589890,False,58,shoe_shop,window_screen,1727,3.4
ViT,n01740131,n01744401,True,58,night_snake,rock_python,1364,4.3
CNN,n01984695,n01773549,False,58,spiny_lobster,barn_spider,1627,3.6
CNN,n03223299,n04589890,True,58,doormat,window_screen,1770,3.3
CNN,n04116512,n03196217,False,57,rubber_eraser,digital_clock,1797,3.2
CNN,n03871628,n02786058,False,57,packet,Band_Aid,1849,3.1
CNN,n04090263,n03763968,False,57,rifle,military_uniform,1896,3.0
CNN,n03958227,n03888257,False,57,plastic_bag,parachute,1904,3.0
CNN,n02109047,n02110341,True,57,Great_Dane,dalmatian,1707,3.3
CNN,n04557648,n03598930,False,57,water_bottle,jigsaw_puzzle,1845,3.1
CNN,n04550184,n04239074,False,57,wardrobe,sliding_door,1647,3.5
ViT,n04004767,n03291819,False,57,printer,envelope,1266,4.5
CNN,n04133789,n03485794,True,57,sandal,handkerchief,1795,3.2
CNN,n01775062,n01774384,True,57,wolf_spider,black_widow,1579,3.6
CNN,n04067472,n03598930,False,57,reel,jigsaw_puzzle,1763,3.2
ViT,n03216828,n09332890,False,56,dock,lakeside,1306,4.3
CNN,n03950228,n04522168,True,56,pitcher,vase,1816,3.1
ViT,n02776631,n04443257,True,56,bakery,tobacco_shop,1352,4.1
CNN,n03710637,n03888257,False,56,maillot,parachute,2105,2.7
CNN,n03633091,n04525038,False,56,ladle,velvet,1894,3.0
ViT,n01740131,n01930112,False,56,night_snake,nematode,1364,4.1
CNN,n01883070,n01877812,True,56,wombat,wallaby,1699,3.3
CNN,n03782006,n03196217,True,56,monitor,digital_clock,2036,2.8
CNN,n03777754,n03196217,True,56,modem,digital_clock,1809,3.1
ViT,n01984695,n01608432,False,55,spiny_lobster,kite,1052,5.2
CNN,n02124075,n02123159,True,55,Egyptian_cat,tiger_cat,1838,3.0
CNN,n04081281,n04443257,True,55,restaurant,tobacco_shop,1977,2.8
CNN,n03742115,n03018349,True,55,medicine_chest,china_cabinet,1884,2.9
ViT,n03742115,n01608432,False,55,medicine_chest,kite,1181,4.7
ViT,n03938244,n03291819,False,55,pillow,envelope,1060,5.2
CNN,n03532672,n03017168,False,55,hook,chime,1948,2.8
ViT,n03950228,n04579145,True,55,pitcher,whiskey_jug,1210,4.5
ViT,n04550184,n01608432,False,55,wardrobe,kite,1082,5.1
CNN,n07860988,n03530642,False,55,dough,honeycomb,1994,2.8
ViT,n03832673,n03085013,True,55,notebook,computer_keyboard,1277,4.3
CNN,n01667114,n01664065,True,55,mud_turtle,loggerhead,1791,3.1
CNN,n15075141,n04447861,False,54,toilet_tissue,toilet_seat,1942,2.8
ViT,n03216828,n03160309,True,54,dock,dam,1306,4.1
ViT,n02791270,n02791124,False,54,barbershop,barber_chair,1213,4.5
